MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-01600-7501,1073-R1,130 LENOX AVENUE,1,10026,40.802359,-73.949425,10,9,190,1085936,1016007501,Central Harlem South                                                       ,HARLEM-CENTRAL,R9-CONDOPS,240,1999,312016,8736000,28,36200000,116,1-01672-0017,327 EAST 100 STREET,HARLEM-EAST,D6-ELEVATOR,236,2003,250090,5943102,23.76,24600000,98,1.05,1-01624-0033,1710 3 AVENUE,HARLEM-EAST,D9-ELEVATOR,526,1990,509090,17417369,34.2,81100000,159,1.1
1-01602-7501,1167-R1,65 EAST 96 STREET,1,10128,40.78685,-73.953243,11,4,16002,1051446,1016027501,East Harlem South                                                          ,UPPER EAST SIDE (96-110),R4-ELEVATOR,60,1924,108700,3900000,35.9,18199997,167,1-01496-0021,1125 MADISON AVENUE,UPPER EAST SIDE (79-96),D6-ELEVATOR,41,1922,113052,5752383,51,28200000,249,0.6,1-01517-0020,1327 LEXINGTON AVENUE,UPPER EAST SIDE (79-96),D6-ELEVATOR,97,1927,87192,2247303,25.8,9310000,107,0.45
1-01607-7501,1669-R1,1200 5 AVENUE,1,10029,40.791176,-73.953359,11,8,168,1051486,1016077501,East Harlem South                                                          ,UPPER EAST SIDE (96-110),R4-ELEVATOR,51,1928,120464,4430000,36.8,20599996,171,1-01565-0035,430 EAST 86 STREET,UPPER EAST SIDE (79-96),D6-ELEVATOR,133,1931,205967,6003034,29.1,28000000,136,1.05,1-01517-0001,1085 PARK AVENUE,UPPER EAST SIDE (79-96),D6-ELEVATOR,46,1926,127395,6703683,53,32900000,258,0.7
1-01613-7501,267-R1,1255 5 AVENUE,1,10029,40.79505,-73.95055,11,9,17401,1051516,1016137501,East Harlem South                                                          ,UPPER EAST SIDE (96-110),R4-ELEVATOR,59,1925,63284,1800000,28.4,7460003,118,1-01602-0033,1240 PARK AVENUE,UPPER EAST SIDE (96-110),D7-ELEVATOR,39,1920,47822,1631163,34.1,7600000,159,0.55,1-01602-0050,1391 MADISON AVENUE,UPPER EAST SIDE (96-110),D7-ELEVATOR,48,1920,44184,1156342,26.2,4790000,108,0.55
1-01614-7501,1285-R1,1630 MADISON AVENUE,1,10029,40.795447,-73.948166,11,9,17401,1086163,1016147501,East Harlem South                                                          ,UPPER EAST SIDE (96-110),R4-ELEVATOR,11,2003,7742,200000,25.8,828001,107,1-01558-0020,333 EAST 95 STREET,UPPER EAST SIDE (79-96),D1-ELEVATOR,26,1986,17388,558910,32.1,2600000,150,0.85,,,,,,,,,,,,
1-01623-7501,1322-R1,1787 MADISON AVENUE,1,10035,40.800833,-73.944218,11,9,184,1086215,1016237501,East Harlem North                                                          ,HARLEM-EAST,R9-CONDOPS,152,2003,109646,3290000,30,15300000,140,1-01624-0045,1501 LEXINGTON AVENUE,HARLEM-EAST,D6-ELEVATOR,161,2001,133370,5509585,41.3,27000000,202,1.1,1-01617-0007,1680 MADISON AVENUE,HARLEM-EAST,D1-ELEVATOR,135,1982,130000,2755894,21.2,11400000,88,0.3
1-01627-7501,1628-R1,158 EAST 100 STREET,1,10029,40.788243,-73.948641,11,5,166,1087366,1016277501,East Harlem South                                                          ,HARLEM-EAST,R4-ELEVATOR,13,2004,6342,240000,37.8,1120003,177,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,2004,23553,833208,35.4,3880000,165,0.6,,,,,,,,,,,,
1-01630-7501,441-R1,169 EAST 102 STREET,1,10029,40.789348,-73.947344,11,8,166,1084317,1016307501,East Harlem South                                                          ,HARLEM-EAST,R2-WALK-UP,17,1920,9590,200000,20.86,747998,78,1-01627-0024,155 EAST 99 STREET,HARLEM-EAST,C1-WALK-UP,20,1910,8925,235438,26.4,975000,109,0.15,1-01632-0023,155 EAST 104 STREET,HARLEM-EAST,C4-WALK-UP,16,1910,8145,119889,14.72,405000,49.7,0.1
1-01630-7501,441-R2,173 EAST 102 STREET,1,10029,40.789315,-73.947272,11,8,166,1074219,1016307501,East Harlem South                                                          ,HARLEM-EAST,R2-WALK-UP,17,1920,9590,200000,20.86,747997,78,1-01627-0024,155 EAST 99 STREET,HARLEM-EAST,C1-WALK-UP,20,1910,8925,235438,26.4,975000,109,0.15,1-01632-0023,155 EAST 104 STREET,HARLEM-EAST,C4-WALK-UP,16,1910,8145,119889,14.72,405000,49.7,0.1
1-01630-7502,1801-R1,117 EAST 102 STREET,1,10029,40.790032,-73.948943,11,8,166,1087730,1016307502,East Harlem South                                                          ,HARLEM-EAST,R4-ELEVATOR,11,2006,12184,485000,39.8,2380000,195,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,2004,23553,833208,35.4,3880000,165,0.45,,,,,,,,,,,,
