MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-00007-7501,735-R1,1 COENTIES SLIP,1,10004,40.703627,-74.010607,1,1,9,1077806,1000077501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,42,1920,36500,1277500,35,5950000,163,1-00065-0006,21 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,32,1900,37800,1340000,35.4,6240000,165,0.45,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,11100000,192,0.4
1-00008-7501,1822-R1,39 WHITEHALL STREET,1,10004,40.703037,-74.012969,1,1,9,1087700,1000087501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,78,1985,126420,5688900,45,27900000,221,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.9,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,1.05
1-00015-7502,1557-R1,20 WEST STREET,1,10004,40.706358,-74.016151,1,1,13,1087243,1000157502,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,282,1930,249076,10212116,41,50100001,201,1-00042-0001,100 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,342,1930,290116,12283000,42.3,60300000,208,0.45,1-00027-0009,63 WALL STREET,FINANCIAL,D5-ELEVATOR,482,1929,390531,17218000,44.1,84500000,216,0.4
1-00016-7501,308-R1,377 RECTOR PLACE,1,10280,40.709506,-74.018002,1,1,31704,1000061,1000167501,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,239,1985,219495,8779800,40,43100005,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7502,313-R1,320 ALBANY STREET,1,10280,40.710165,-74.016751,1,1,31704,1000301,1000167502,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,133,1986,139719,5588760,40,27399999,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7503,385-R1,250 SOUTH END AVENUE,1,10280,40.709709,-74.01656,1,1,31704,1065089,1000167503,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,109,1985,105000,4200000,40,20600009,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7504,360-R1,300 ALBANY STREET,1,10280,40.710118,-74.016574,1,1,31704,1000436,1000167504,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,107,1986,87479,3499160,40,17199989,197,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7505,371-R1,380 RECTOR PLACE,1,10280,40.709311,-74.017764,1,1,31704,1000544,1000167505,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,247,1987,255845,10233800,40,50200004,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7506,398-R1,280 RECTOR PLACE,1,10280,40.708921,-74.016505,1,1,31704,1065199,1000167506,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,121,1985,106129,4245160,40,20800003,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7507,450-R1,300 RECTOR PLACE,1,10280,40.709097,-74.017104,1,1,31704,1065321,1000167507,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,154,1986,126008,5040320,40,24700011,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7508,498-R1,200 RECTOR PLACE,1,10280,40.708809,-74.016116,1,1,31704,1065475,1000167508,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,546,1987,586224,23448960,40,114999983,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7509,621-R1,21 SOUTH END AVENUE,1,10280,40.708114,-74.01763,1,1,31704,1075698,1000167509,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,182,1988,208281,8331240,40,40900011,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7510,779-R1,99 BATTERY PLACE,1,10280,40.707977,-74.016729,1,1,31704,1080815,1000167510,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,293,1988,341489,13659560,40,67100013,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7511,780-R1,2 SOUTH END AVENUE,1,10280,40.708037,-74.017656,1,1,31704,1082813,1000167511,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,163,1990,156260,6250400,40,30700002,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7513,1217-R1,25 BATTERY PLACE,1,10280,40.705581,-74.017969,1,1,31704,1085789,1000167513,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,117,2003,267723,11512089,43,56499997,211,1-00016-0185,211 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,253,2004,278141,14415000,52,70800000,255,0,1-00016-0195,325 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,276,2004,356483,15036000,42.2,73800000,207,0
1-00016-7514,1623-R1,30 WEST STREET,1,10004,40.706146,-74.016873,1,1,31704,1087238,1000167514,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,234,2006,431824,18568432,43,91199996,211,1-00016-0185,211 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,253,2004,278141,14415000,52,70800000,255,0,1-00016-0195,325 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,276,2004,356483,15036000,42.2,73800000,207,0
1-00016-7515,1848-R1,225 RECTOR PLACE,1,10280,40.70927,-74.016487,1,1,31704,1000053,1000167515,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,304,1985,257848,10313920,40,50600031,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7516,1858-R1,1 RIVER TERRACE,1,,,,,,,,,,TRIBECA,R4-ELEVATOR,256,2006,434398,18679114,43,91699998,211,1-00016-0185,211 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,253,2004,278141,14415000,52,70800000,255,0,1-00016-0195,325 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,276,2004,356483,15036000,42.2,73800000,207,0
1-00016-7517,1902-R1,70 BATTERY PLACE,1,10280,40.707047,-74.017439,1,1,31704,1085778,1000160020,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,249,2006,438177,21908850,50,107999966,246,1-00016-0200,400 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,399,1998,484000,16736000,34.6,78000000,161,0,1-00016-0180,20 RIVER TERRACE,TRIBECA,D8-ELEVATOR,293,2002,356786,17830000,50,87500000,245,0
1-00017-7502,1192-R1,33 RECTOR STREET,1,10006,40.708354,-74.014868,1,1,13,1000792,1000177502,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,13,1920,37236,1303000,35,6069999,163,1-00065-0006,21 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,32,1900,37800,1340000,35.4,6240000,165,0.3,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0.9
1-00018-7501,1741-R1,13 RECTOR STREET,1,10006,40.707997,-74.013713,1,1,13,1000794,1000187501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,452,1956,316810,12672400,40,62200021,196,1-00017-0029,90 WASHINGTON STREET,FINANCIAL,D5-ELEVATOR,398,1969,325514,13948000,42.8,68500000,210,0.1,1-00027-0009,63 WALL STREET,FINANCIAL,D5-ELEVATOR,482,1929,390531,17218000,44.1,84500000,216,0.35
1-00024-7501,1912-R1,40 BROAD STREET,1,10004,40.706021,-74.011332,1,1,9,1078985,1000247501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,162,1982,231300,8442450,36.5,39300010,170,1-00042-0022,10 LIBERTY STREET,FINANCIAL,D8-ELEVATOR,288,2002,387000,14535000,37.6,67700000,175,0.25,1-00170-0020,95 WORTH STREET,CIVIC CENTER,D6-ELEVATOR,339,2001,364721,14008000,38.4,68800000,189,0.85
1-00025-7501,1957-R1,15 WILLIAM STREET,1,10005,40.705209,-74.009998,1,1,9,1087954,1000257501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,320,2005,477747,19109880,40,93799968,196,1-00027-0009,63 WALL STREET,FINANCIAL,D5-ELEVATOR,482,1929,390531,17218000,44.1,84500000,216,0.1,1-00031-0001,10 HANOVER SQUARE,FINANCIAL,D6-ELEVATOR,494,1972,487404,20175336,41.4,99000000,203,0.15
1-00026-7501,1480-R1,15 BROAD STREET,1,10005,40.706531,-74.011022,1,1,7,1078988,1000267501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,382,1914,648926,25957040,40,126999973,196,1-00026-0021,45 WALL STREET,FINANCIAL,D9-ELEVATOR,438,1958,493187,16700000,33.9,77800000,158,0,1-00075-0001,127 JOHN STREET,FINANCIAL,D8-ELEVATOR,579,1973,541000,25819000,47.7,127000000,235,0.3
1-00027-7501,1424-R1,55 WALL STREET,1,10005,40.706191,-74.009165,1,1,7,1000827,1000277501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,107,1836,159544,6222000,39,30500006,191,1-00068-0016,84 WILLIAM STREET,FINANCIAL,D9-ELEVATOR,124,1907,111184,5086000,45.7,25000000,225,0.15,1-00077-0001,87 JOHN STREET,FINANCIAL,D7-ELEVATOR,164,1926,160000,5540000,34.6,25800000,161,0.25
1-00027-7502,1991-R1,20 EXCHANGE PLACE,1,10005,40.705634,-74.009378,1,1,7,1000830,1000277502,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,736,1929,346789,11097248,32,51700000,149,1-00027-0009,63 WALL STREET,FINANCIAL,D5-ELEVATOR,482,1929,390531,17218000,44.1,84500000,216,0.05,1-00056-0004,90 WEST STREET,FINANCIAL,D5-ELEVATOR,413,1908,357000,13346000,37.4,62200000,174,0.4
1-00028-7501,1590-R1,82 BEAVER STREET,1,10005,40.70536,-74.008602,1,1,7,1000835,1000287501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,126,1987,96902,3876080,40,19000009,196,1-00068-0016,84 WILLIAM STREET,FINANCIAL,D9-ELEVATOR,124,1907,111184,5086000,45.7,25000000,225,0.2,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,115,1920,107243,4053000,37.8,18900000,176,0.35
1-00029-7501,1002-R1,48 BEAVER STREET,1,10004,40.70509,-74.010607,1,1,9,1078997,1000297501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,40,1920,65396,2386954,36.5,11100000,170,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,70,1900,58354,2198000,37.7,10200000,175,0.35,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,11100000,192,0.3
1-00029-7503,1541-R1,21 SOUTH WILLIAM STREET,1,10004,40.704514,-74.010741,1,1,9,1087244,1000297503,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,31,1900,20308,731088,36,3410002,168,1-00065-0006,21 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,32,1900,37800,1340000,35.4,6240000,165,0.4,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,11100000,192,0.35
1-00031-7501,1836-R1,75 WALL STREET,1,10005,40.705486,-74.007874,1,1,7,1085950,1000317501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,347,1987,422833,13497000,31.9,62900004,149,1-00042-0022,10 LIBERTY STREET,FINANCIAL,D8-ELEVATOR,288,2002,387000,14535000,37.6,67700000,175,0.15,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,2003,627330,27027000,43.1,133000000,212,0.2
1-00039-7501,122-R1,164 PEARL STREET,1,10005,40.70587,-74.007617,1,1,7,1000884,1000397501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,121,1956,109468,4159784,38,19400003,177,1-00068-0016,84 WILLIAM STREET,FINANCIAL,D9-ELEVATOR,124,1907,111184,5086000,45.7,25000000,225,0.15,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,115,1920,107243,4053000,37.8,18900000,176,0.35
1-00041-7501,1054-R1,50 PINE STREET,1,10005,40.706732,-74.00862,1,1,7,1001011,1000417501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,20,1902,39607,1386245,35,6640000,168,1-00065-0006,21 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,32,1900,37800,1340000,35.4,6240000,165,0.2,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,70,1900,58354,2198000,37.7,10200000,175,0.2
1-00041-7503,1186-R1,56 PINE STREET,1,10005,40.706606,-74.008404,1,1,7,1001009,1000417503,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,90,1893,73507,2646252,36,12300008,167,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,70,1900,58354,2198000,37.7,10200000,175,0.2,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,11100000,192,0.35
1-00044-7501,1853-R1,18 PINE STREET,1,10005,40.707588,-74.010013,1,1,7,1001022,1000447501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,408,1928,548976,21959040,40,107999963,197,1-00027-0009,63 WALL STREET,FINANCIAL,D5-ELEVATOR,482,1929,390531,17218000,44.1,84500000,216,0.15,1-00056-0004,90 WEST STREET,FINANCIAL,D5-ELEVATOR,413,1908,357000,13346000,37.4,62200000,174,0.3
1-00053-7501,1572-R1,120 GREENWICH STREET,1,10006,40.709089,-74.013118,1,1,13,1001050,1000537501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,102,1903,71985,2627452,36.5,12200008,169,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,115,1920,107243,4053000,37.8,18900000,176,0.25,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,70,1900,58354,2198000,37.7,10200000,175,0.25
1-00065-7501,21-R1,65 NASSAU STREET,1,10038,40.70935,-74.00861,1,1,1502,1001106,1000657501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,29,1920,28550,800000,28,3310000,116,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,70,1900,58354,2198000,37.7,10200000,175,0,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,1905,59488,1867000,31.4,8700000,146,0.1
1-00068-7501,1648-R1,80 JOHN STREET,1,10038,40.708445,-74.006886,1,1,1502,1001115,1000687501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,145,1927,186512,8100000,43.4,39800002,213,1-00068-0016,84 WILLIAM STREET,FINANCIAL,D9-ELEVATOR,124,1907,111184,5086000,45.7,25000000,225,0.04,1-00056-0004,90 WEST STREET,FINANCIAL,D5-ELEVATOR,413,1908,357000,13346000,37.4,62200000,174,0.4
1-00068-7502,1885-R1,90 WILLIAM STREET,1,10038,40.708184,-74.007787,1,1,1502,1087755,1000687502,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,113,1967,112213,5400000,48.1,26499991,236,1-00016-0185,211 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,253,2004,278141,14415000,52,70800000,255,0.5,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,2003,627330,27027000,43.1,133000000,212,0.05
1-00072-7501,65-R1,170 JOHN STREET,1,10038,40.706076,-74.004202,1,1,1502,1001143,1000727501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,14,1982,24362,851000,34.9,3960000,163,1-00248-0070,80 RUTGERS SLIP,LOWER EAST SIDE,D9-ELEVATOR,109,1987,83904,2036000,24.27,4320000,51,0.8,1-00372-0060,274 EAST 2 STREET,ALPHABET CITY,D7-ELEVATOR,103,1997,80500,2893000,35.9,13500000,168,1.65
1-00814-7501,1559-R1,1031 6 AVENUE,1,10018,40.752654,-73.985707,5,4,113,1015272,1008147501,Midtown-Midtown South                                                      ,FASHION,R4-ELEVATOR,89,2004,97349,4500000,46.2,22100002,227,1-00824-0011,51 WEST 22 STREET,FLATIRON,D6-ELEVATOR,452,2000,588356,27355695,46.5,134000000,228,0.8,,,,,,,,,,,,
1-00076-7502,1935-R1,99 JOHN STREET,1,10038,40.708006,-74.006164,1,1,1502,1087867,1000767502,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,441,2003,348157,14900000,42.8,73099958,210,1-00016-0185,211 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,253,2004,278141,14415000,52,70800000,255,0.6,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,2003,627330,27027000,43.1,133000000,212,0.1
1-00078-7503,1023-R1,80 NASSAU STREET,1,10038,40.709823,-74.008119,1,1,1502,1001201,1000787503,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,11,1900,31738,1150000,36.2,5360000,169,1-00106-0004,272 WATER STREET,SOUTHBRIDGE,D9-ELEVATOR,14,1900,16424,560000,34.1,2610000,159,0.3,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,11100000,192,0.35
1-00078-7505,1310-R1,39 JOHN STREET,1,10038,40.709356,-74.008159,1,1,1502,1001200,1000787505,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,14,1930,17122,670255,39.1,3290000,192,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,1905,59488,1867000,31.4,8700000,146,0.04,1-00106-0004,272 WATER STREET,SOUTHBRIDGE,D9-ELEVATOR,14,1900,16424,560000,34.1,2610000,159,0.3
1-00078-7506,1329-R1,102 FULTON STREET,1,10038,40.709642,-74.006619,1,1,1502,1001196,1000787506,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,14,1910,22613,870000,38.5,4270000,189,1-00078-0043,90 NASSAU STREET,FINANCIAL,D5-ELEVATOR,11,1900,12560,677000,54,3320000,264,0.04,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,11100000,192,0.35
1-00078-7507,1627-R1,111 WILLIAM STREET,1,10038,40.708763,-74.007243,1,1,1502,1001193,1000787507,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,73,1909,89994,3500000,38.9,17199999,191,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,115,1920,107243,4053000,37.8,18900000,176,0.1,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,1905,59488,1867000,31.4,8700000,146,0
1-00078-7508,1927-R1,45 JOHN STREET,1,10038,40.709241,-74.008,1,1,1502,1001199,1000787508,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,84,1908,75285,1685000,22.38,6979997,93,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,11100000,192,0.35,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,1905,59488,1867000,31.4,8700000,146,0.04
1-00079-7502,1543-R1,130 FULTON STREET,1,10038,40.710372,-74.008062,1,1,1502,1087245,1000797502,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,21,1900,66930,2510000,37.5,11699998,175,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,1905,59488,1867000,31.4,8700000,146,0.1,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,70,1900,58354,2198000,37.7,10200000,175,0.05
1-00079-7503,1551-R1,71 NASSAU STREET,1,10038,40.709639,-74.008325,1,1,1502,1001215,1000797503,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,67,1906,66575,2500000,37.6,11600000,174,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,1905,59488,1867000,31.4,8700000,146,0.1,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,70,1900,58354,2198000,37.7,10200000,175,0.05
1-00090-7501,1121-R1,15 PARK ROW,1,10038,40.711508,-74.007679,1,1,1501,1001249,1000907501,Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,210,1896,196837,6441273,32.7,30000000,152,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,115,1920,107243,4053000,37.8,18900000,176,0.1,1-00077-0024,82 FULTON STREET,FINANCIAL,D7-ELEVATOR,204,1900,159000,5860000,36.9,27300000,172,0.2
1-00091-7501,1605-R1,119 FULTON STREET,1,10038,40.709932,-74.007149,1,1,1501,1001264,1000917501,Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,19,1919,26528,848000,32,3950002,149,1-00092-0017,47 ANN STREET,SOUTHBRIDGE,D9-ELEVATOR,13,1935,24610,689000,28,2850000,116,0.04,1-00107-0042,23 PECK SLIP,SOUTHBRIDGE,D7-ELEVATOR,24,1900,25903,647000,24.98,2680000,103,0.3
1-00091-7502,1969-R1,111 FULTON STREET,1,10038,40.709749,-74.006792,1,1,1501,1001263,1000917502,Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,163,1940,191740,6710000,35,31299990,163,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,115,1920,107243,4053000,37.8,18900000,176,0.1,1-00077-0024,82 FULTON STREET,FINANCIAL,D7-ELEVATOR,204,1900,159000,5860000,36.9,27300000,172,0.1
1-00095-7501,118-R1,117 BEEKMAN STREET,1,10038,40.707811,-74.003221,1,1,1501,1001292,1000957501,Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,22,1983,37170,1226610,33,5710003,154,1-00107-0042,23 PECK SLIP,SOUTHBRIDGE,D7-ELEVATOR,24,1900,25903,647000,24.98,2680000,103,0.15,1-00097-0001,119 SOUTH STREET,SOUTHBRIDGE,D7-ELEVATOR,17,1900,14053,554000,39.4,2720000,194,0.1
1-00097-7502,1218-R1,130 BEEKMAN STREET,1,10038,40.707553,-74.003005,1,1,1501,1001345,1000977502,Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,18,1900,23044,738000,32,3440001,149,1-00097-0001,119 SOUTH STREET,SOUTHBRIDGE,D7-ELEVATOR,17,1900,14053,554000,39.4,2720000,194,0.04,1-00092-0017,47 ANN STREET,SOUTHBRIDGE,D9-ELEVATOR,13,1935,24610,689000,28,2850000,116,0.3
1-00097-7503,1412-R1,220 FRONT STREET,1,10038,40.707427,-74.002352,1,1,1501,1086561,1000977503,Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,15,1910,25825,920000,35.6,4290000,166,1-00092-0017,47 ANN STREET,SOUTHBRIDGE,D9-ELEVATOR,13,1935,24610,689000,28,2850000,116,0.3,1-00097-0001,119 SOUTH STREET,SOUTHBRIDGE,D7-ELEVATOR,17,1900,14053,554000,39.4,2720000,194,0.04
